#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
dragon_rider;Dragon Rider;Chevaucheur de Dragon;;;Jinete de Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_rider_desc;This person controls a dragon. Dragons were discovered some five thousand years ago by the Valyrians in the Fourteen Fires; a ring of volcanoes on the Valyrian Peninsula. The Valyrians mastered the art of raising dragons and used them as weapons of war to carve out a massive empire.\n\n-A Dragon rider's Dragon is denoted and as their 'friend'\n-Dragons can be used in battle and sieges using character decisions\n-Upon a rider's death their Dragon may be inherited by their heir if they are a capable adult. Else the Dragon will establish a lair. If their location doesn't have a Dragonpit they may also fly to the Dragonmont on Dragonstone.\n-Enemy Dragon riders can meet in duels; generally the side with greatest combined Dragon strength (i.e. martial score) will win.\n;Ce personnage contrôle un dragon. Les dragons ont été découverts il y a près de 5000 ans par les Valyriens dans les Quatorze Feux; une chaîne de volcans de la péninsule valyrienne. Les Valyriens parvinrent à maîtriser l'art d'élever les dragons et à les utiliser comme des armes pour fonder un gigantesque empire.\n\n-Le dragon d'un chevaucheur de dragon apparaît comme son ami\n-Les dragons peuvent être utilisés durant les batailles et les sièges via les décisions\n-A la mort d'un chevaucheur de dragon; la bête peut passer à ses héritiers s'ils sont adultes. Si ce n'est pas le cas; le dragon se créera une tanière. Si l'endroit n'est pas pouvu d'une fosse à dragon; ils peuvent également s'envoler pour Montdragon sur Peyredragon.\nDes chevaucheurs de dragons peuvent s'affronter en duel; généralement; le camp qui a le plus de puissance de dragon (valeur martiale) combinée l'emportera.\n;;;Este personaje controla a un dragón. Los dragones fueron descubiertos hace más de 5000 años por los valyrios en las Catorce Llamas; una cadena de volcanes cercanos a Valyria. Los valyrios se hicieron maestros en el arte de criar dragones y los usaron como armas de guerra para construir su gran imperio.\n\n-El dragón de un jinete de dragón aparece como uno de sus amigos\n-Los dragones pueden ser utilizados en las batallas y los asedios vía decisiones\n-A la muerte de un jinete de dragón; la bestia puede pasar a sus herederos si son adultos. Si no es el caso; el dragón se creará una guarida. Si la provincia no cuenta con un Pozo Dragón; pueden volar a Montedragón en Rocadragón.\nLos jinetes de dragón pueden enfrentarse en duelo; generalmente vencerá la parte con más fuerza de dragón combinada.\n;;;;;;;;;x;;;
dragon;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_desc;This is a Dragon; a magical creature. They are scaled; reptilian creatures; with two legs and two wings. Great heat emanates from dragons' bodies; to the point that they steam during cold nights. They breathe extremely hot flame which they use to cook their meat before eating it. It is said the first dragons came from the east; from the Shadow Lands beyond Asshai and the islands of the Jade Sea.\n\n-A Dragon's martial score is an indicator of their size and strength. They will continue growing until they die.\n-A Dragon's rider is denoted by their 'friend'\n-Dragons can be used in battle and sieges using character decisions\n;C'est un dragon; une créature fantastique. Les dragons sont d'immenses créatures volantes à l'apparence reptilienne; couverts d'écailles et au souffle de feu dévastateur (le feu-dragon). On dit qu'ils sont originaires de l'orient; des Contrées de l'Ombre au-delà d'Asshai et des îles de la mer de Jade. \n\n-La valeur martiale d'un dragon est un indicateur de sa taille et de sa force. Ils continuent de grandir jusqu'à leur mort.\n-Un chevaucheur de dragon apparait comme son ami\n-Les dragons peuvent être utilisés durant les batailles et les sièges via les décisions\n;;;Esto es un dragón; una criatura fantástica. Los dragones son inmensas criaturas voladoras de aspecto reptiliano y con escamas; de dos piernas y dos alas. Un gran calor emana de los cuerpos de los dragones; al punto que en noches heladas sus cuerpos emiten vapor. Su aliento es extremadamente caliente y necesitan cocinar o calcinar su comida antes de engullirla. Los dragones son nativos del continente de Essos y fueron descubiertos unos cinco mil años atrás por los valyrios en las Catorce Llamas; un cordón montañoso en la Península de Valyria.\n\n-El valor marcial de un dragón es un indicador de su tamaño y su fuerza. Continúan creciendo hasta su muerte.\n-Un jinete de dragón aparece como su amigo\n-Los dragones pueden ser utilizados en las batallas y los asedios vía decisiones\n;;;;;;;;;x;;;;
wild_dragon;Wild Dragon;Dragon Sauvage;;;Dragón Salvaje;;;;;;;;;x;;;;;;;;;;;;;;;;
wild_dragon_desc;This person chained a wild beast.;Ce personnage a enchaîné une bête sauvage.;;;Este personaje ha encadenado a una bestia salvaje.;;;;;;;;;x;;;;;;;;;;;;;;;;
child_dragon;Young Dragon;Jeune Dragon;;;Dragón Joven;;;;;;;;;x;;;;;;;;;;;;;;;;
child_dragon_desc;This person owns a young dragon.;Ce personnage possède un jeune dragon.;;;Este personaje posee un dragón joven.;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_slayer;Dragon Slayer;Tueur de Dragon;;;Matadragones;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_slayer_desc;This person has slain a legendary beast.;Ce personnage a tué une bête légendaire.;;;Este personaje ha matado a una bestia legendaria.;;;;;;;;;x;;;;;;;;;;;;;;;;
