#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_new_valyria;New Valyria;Nouvelle Valyria;;;Nueva Valyria;;;;;;;;;x
e_new_valyria_adj;Valyrian;Valyrien;;;Valyria;;;;;;;;;x
e_braavos;Braavos;Braavos;Braavos;Braavos;Braavos;;;;;;;;;x
e_braavos_adj;Braavosi;Braavien;Braavosi;Braavosi;Braavosi;;;;;;;;;x
e_three_daughters;The Three Daughters;Les Trois Filles;;;Las Tres Hermanas;;;;;;;;;x
e_three_daughters_adj;Triarchy;Triarchie;;;Triarquía;;;;;;;;;x
k_braavos;Braavos;Braavos;Braavos;Braavos;Braavos;;;;;;;;;x
k_braavos_adj;Braavosi;Braavien;Braavosi;Braavosi;Braavosi;;;;;;;;;x
d_braavos;Braavos;Braavos;Braavos;Braavos;Braavos;;;;;;;;;x
d_braavos_adj;Braavosi;Braavien;Braavosi;Braavosi;Braavosi;;;;;;;;;x
d_braavosiancoastlands;The Braavosian Coastlands;Les Terres Côtières Braaviennes;;;Costa Braavosi;;;;;;;;;x
d_east_braavosiancoastlands;Morrogos;Morrogos;;;Morrogos;;;;;;;;;x
d_sweetwater;Sweetwater;Eaudouce;;;Agua Dulce;;;;;;;;;x
c_braavos;Braavos;Braavos;Braavos;Braavos;Braavos;;;;;;;;;x
b_braavos;Braavos;Braavos;Braavos;Braavos;Braavos;;;;;;;;;x
b_sealordpalace;The Sealord's Palace;Le Palais du Seigneur de la Mer;The Sealord's Palace;The Sealord's Palace;Palacio del Señor del Mar;;;;;;;;;x
b_titan;The Titan of Braavos;Le Titan de Braavos;The Titan of Braavos;The Titan of Braavos;El Titán de Braavos;;;;;;;;;x
b_arsenal;The Arsenal;L'Arsenal;The Arsenal;The Arsenal;El Arsenal;;;;;;;;;x
b_purpleharbor;Purple Harbor;Port Pourpre;Purple Harbor;Purple Harbor;Puerto Púrpura;;;;;;;;;x
b_ragmansharbor;Ragman's Harbor;Port du Chiffonier;Ragman's Harbor;Ragman's Harbor;Puerto del Trapero;;;;;;;;;x
b_templemoonsingers;The Moonsingers;Temple des Chantelunes;Temple of the Moonsingers;Temple of the Moonsingers;de las Cantoras Lunares;;;;;;;;;x
c_themarshes;The Marshes;Les Marais;;;La Laguna;;;;;;;;;x
b_themarshes;The Marshes;Les Marais;;;Ciudad Sedimento;;;;;;;;;x
b_themarshescastle;The Marshes;Les Marais;;;Escudo de Sellagoro;;;;;;;;;x
b_themarshestemple;The Marshes;Les Marais;;;El Padre de las Aguas;;;;;;;;;x
c_braavosishore;Moonsbridge;Côte Braavienne;;;Canal Largo;;;;;;;;;x
b_braavosishore;Moonsbridge;Côte Braavienne;;;Mercado del Pescado;;;;;;;;;x
b_braavosishorecastle;Moonsbridge;Côte Braavienne;;;Casa de Niebla;;;;;;;;;x
b_braavosishoretemple;Moonsbridge;Côte Braavienne;;;Refugio Sagrado;;;;;;;;;x
c_malaqovos;Malaqovos;Malaqovos;;;Malaqovos;;;;;;;;;x
b_malaqovos;Malaqovos;Malaqovos;;;Malaqovos;;;;;;;;;x
b_malaqovoscastle;Malaqovos;Malaqovos;;;Malaqovos;;;;;;;;;x
b_malaqovostemple;Malaqovos;Malaqovos;;;Malaqovos;;;;;;;;;x
c_freneros;Freneros;Freneros;;;Freneros;;;;;;;;;x
b_freneros;Freneros;Freneros;;;Freneros;;;;;;;;;x
b_freneroscastle;Freneros;Freneros;;;Freneros;;;;;;;;;x
b_frenerostemple;Freneros;Freneros;;;Freneros;;;;;;;;;x
c_braavosianhills;The Daerves Hills;Les Collines Braaviennes;;;Colinas Braavosi;;;;;;;;;x
b_braavosianhills;The Daerves Hills;Les Collines Braaviennes;;;Puerto Feliz;;;;;;;;;x
b_braavosianhillscastle;The Daerves Hills;Les Collines Braaviennes;;;Farol Azul;;;;;;;;;x
b_braavosianhillstemple;The Daerves Hills;Les Collines Braaviennes;;;Casa de las Manos Rojas;;;;;;;;;x
c_prestaynos;Prestaynos;Prestaynos;;;Prestaynos;;;;;;;;;x
b_prestaynos;Prestaynos;Prestaynos;;;Prestaynos;;;;;;;;;x
b_prestaynoscastle;Prestaynos;Prestaynos;;;Prestaynos;;;;;;;;;x
b_prestaynostemple;Prestaynos;Prestaynos;;;Prestaynos;;;;;;;;;x
c_braavosian_fields;Ironport;Les Champs Braaviens;;;Campos Braavosi;;;;;;;;;x
b_braavosian_fields;Ironport;Les Champs Braaviens;;;Puerto Chequy;;;;;;;;;x
b_braavosian_fieldscastle;Ironport;Les Champs Braaviens;;;Torre del Proscrito;;;;;;;;;x
b_braavosian_fieldstemple;Ironport;Les Champs Braaviens;;;Jardines de Gelenei;;;;;;;;;x
k_tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;;;;;;;;;x
k_tyrosh_adj;Tyroshi;Tyroshi;Tyroshi;Tyroshi;Tyroshi;;;;;;;;;x
d_tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;;;;;;;;;x
c_tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;;;;;;;;;x
b_tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;Tyrosh;;;;;;;;;x
b_tyroshharbor;Tyroshi Harbor;Port Tyroshi;Tyroshi Harbor;Tyroshi Harbor;Puerto Tyroshi;;;;;;;;;x
b_bleedingtower;Bleeding Tower;Tour Sanglante;Bleeding Tower;Bleeding Tower;Torre Sangrante;;;;;;;;;x
b_fountaindrunkengod;Fountain of the Drunken God;Fontaine du Dieu Ivre;Fountain of the Drunken God;Fountain of the Drunken God;Fuente del Dios Borracho;;;;;;;;;x
b_templeoftrios;Temple of Trios;Temple de Trios;Temple of Trios;Temple of Trios;Templo de los Tríos;;;;;;;;;x
b_zernosh;Zernosh;Zernosh;;;Zernosh;;;;;;;;;x
b_dynelos;Dynelos;Dynelos;;;Dynelos;;;;;;;;;x
c_tyroshilanding;Tyroshi Landing;Terres Tyroshies;;;Tierras Tyroshi;;;;;;;;;x
b_tyroshilanding;Tyroshi Landing;Terres Tyroshies;;;Puerto Codicia;;;;;;;;;x
b_tyroshilanding_castle;Tyroshi Landing;Terres Tyroshies;;;Torre Engastada;;;;;;;;;x
b_tyroshilanding_temple;Tyroshi Landing;Terres Tyroshies;;;la Tricefalia;;;;;;;;;x
d_tyroshi_lands;Tyroshi Disputed Lands;Terres Disputées Tyroshies;;;Tierras de la Discordia Tyroshi;;;;;;;;;x
c_kylos;Kylos;Kylos;;;Kylos;;;;;;;;;x
b_kylos;Kylos;Kylos;;;Kylos;;;;;;;;;x
b_kylos_castle;Kylos;Kylos;;;Kylos;;;;;;;;;x
b_kylos_temple;Kylos;Kylos;;;Kylos;;;;;;;;;x
c_disputedpeninsula;Disputed Peninsula;Péninsule Disputée;;;Punta de la Discordia;;;;;;;;;x
b_disputedpeninsula;Disputed Peninsula;Péninsule Disputée;;;Puerto de la Discordia;;;;;;;;;x
b_disputedpeninsula_castle;Disputed Peninsula;Péninsule Disputée;;;Fortín de la Punta;;;;;;;;;x
b_disputedpeninsula_temple;Disputed Peninsula;Péninsule Disputée;;;Punta de la Discordia;;;;;;;;;x
c_vysosplains;Vysos Plains;Plaines de Vysos;;;Llanuras de Vysos;;;;;;;;;x
b_vysosplains;Vysos Plains;Plaines de Vysos;;;Vysos;;;;;;;;;x
b_vysosplains_castle;Vysos Plains;Plaines de Vysos;;;Vysos;;;;;;;;;x
b_vysosplains_temple;Vysos Plains;Plaines de Vysos;;;Vysos;;;;;;;;;x
k_pentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
k_pentos_adj;Pentoshi;Pentoshi;;;Péntica;;;;;;;;;x
d_pentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
d_pentos_adj;Pentoshi;Pentoshi;;;Péntica;;;;;;;;;x
c_pentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
b_pentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
b_olynos;Olynos;Olynos;;;Olynos;;;;;;;;;x
d_prince_pentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
d_prince_pentos_adj;Pentoshi;Pentoshi;;;Péntico;;;;;;;;;x
PRINCEDOM_OF;Principality of;Principauté de;;;Principado de;;;;;;;;;x
b_princespalace;The Prince's Palace;Le Palais du Prince;;;Palacio del Príncipe;;;;;;;;;x
b_pentosharbor;Pentos Harbor;Port de Pentos;;;Puerto de Pentos;;;;;;;;;x
b_spicertowers;Spicer Towers;Tours des Epiciers;;;Torre de las Especias;;;;;;;;;x
b_sunrisegate;Sunrise Gate;Porte du Levant;;;Torre Cuadrangular;;;;;;;;;x
b_redtemplepentos;Pentos;Pentos;;;Pentos;;;;;;;;;x
c_sunriseroad;Sunrise Road;Route du Levant;;;Ruta del Amanecer;;;;;;;;;x
b_sunriseroad;Sunrise Road;Route du Levant;;;Posada del Amanecer;;;;;;;;;x
b_sunriseroad_castle;Sunrise Road;Route du Levant;;;Castillo del Amanecer;;;;;;;;;x
b_sunriseroad_temple;Sunrise Road;Route du Levant;;;Ruta del Amanecer;;;;;;;;;x
c_thegreatarm;The Great Arm;Le Grand Bras;;;El Gran Brazo;;;;;;;;;x
b_thegreatarm;The Great Arm;Le Grand Bras;;;El Gran Brazo;;;;;;;;;x
b_thegreatarm_castle;The Great Arm;Le Grand Bras;;;El Gran Brazo;;;;;;;;;x
b_thegreatarm_temple;The Great Arm;Le Grand Bras;;;El Gran Brazo;;;;;;;;;x
d_nontelos;Nontelos;Nontelos;;;Nontelos;;;;;;;;;x
c_princesshore;Prince's Shore;Rivage du Prince;;;Costa del Príncipe;;;;;;;;;x
b_princesshore;Prince's Shore;Rivage du Prince;;;Puerto Príncipe;;;;;;;;;x
b_princesshore_castle;Prince's Shore;Rivage du Prince;;;Torre del Príncipe;;;;;;;;;x
b_princesshore_temple;Prince's Shore;Rivage du Prince;;;Costa del Príncipe;;;;;;;;;x
c_berylos;Berylos;Berylos;Berylos;Berylos;Berylos;;;;;;;;;x
b_berylos;Berylos;Berylos;Berylos;Berylos;Berylos;;;;;;;;;x
b_berylos_castle;Berylos;Berylos;Berylos;Berylos;Berylos;;;;;;;;;x
